"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2009","Not applicable","68440",,,,,,,,,,,,
"100937","Birmingham Southern College","2009","United Methodist","65947","72","59","28","520","640","520","630","23","28","60637807","17654473","66376843"
"101073","Concordia College Alabama","2009","Lutheran Church - Missouri Synod","37823","17",,,,,,,,,"8456091","2582532","2650030"
"101116","South University-Montgomery","2009","Not applicable","45099","50","89","74",,,,,,,,,
"101435","Huntingdon College","2009","United Methodist","51999","46","67","31","450","610","430","560","19","24","19613024","6824686","37431495"
"101541","Judson College","2009","Baptist","51208","37","82","31","480","550","470","550","18","28","7969985","2846080","11972268"
"101675","Miles College","2009","Christian Methodist Episcopal","33969","21",,,,,,,,,"24123076","9575964","12624782"
"101693","University of Mobile","2009","Southern Baptist","40238","62","78","37","470","590","430","540","19","25","21068950","8441260","10443950"
"101912","Oakwood University","2009","Seventh Day Adventists","46946","40","56","49","400","530","360","490","16","21","38467819","11781180","4679087"
"102234","Spring Hill College","2009","Roman Catholic","50794","61","55","15","480","600","480","570","21","26","39028934","9633453","19368652"
"102270","Stillman College","2009","Presbyterian Church (USA)","45347","21","44","15","380","450","370","470","16","19","21257651","4186029","15570438"
"102298","Talladega College","2009","United Church of Christ","40351","22",,,,,,,,,"12134969","2334224","4602339"
"104090","Brookline College-Phoenix","2009","Not applicable","42428","71",,,,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2009","Not applicable","67597","55","85","36","480","605","520","640","21","28",,,
"105899","Arizona Christian University","2009","Baptist","48394","43","63","56","470","500","450","610","20","25","5831987","2455936","778311"
"106342","Lyon College","2009","Presbyterian Church (USA)","56085","46","67","19","545","618","545","610","22","27","17198309","6350405","44736897"
"106412","University of Arkansas at Pine Bluff","2009","Not applicable","46675","25","33","62","370","490","360","480","14","18",,,
"106713","Central Baptist College","2009","Baptist","39133","25","80","87",,,,,"20","29","5345602","1846797","1061882"
"107080","Hendrix College","2009","United Methodist","61416","66","81","32","580","690","550","680","27","32","44122677","17460287","136696935"
"107512","Ouachita Baptist University","2009","Southern Baptist","51806","55","73","38","470","590","490","610","21","27","34967832","12497311","65350370"
"107558","University of the Ozarks","2009","Presbyterian Church (USA)","52896","42","89","29","430","530","460","560","19","25","17749169","6186208","69262147"
"107600","Philander Smith College","2009","United Methodist","40080","21","69","13","400","480","410","500","16","22","16364205","3617106","11719307"
"107877","Williams Baptist College","2009","Southern Baptist","42055","57","64","39",,,,,"19","24","6494194","1887906","7722962"
"108092","University of Arkansas-Fort Smith","2009","Not applicable","55441","23","61","64",,,,,"19","24",,,
"111188","California State University Maritime Academy","2009","Not applicable","73677","69","74","32","470","580","490","600","20","25",,,
"112084","San Diego Christian College","2009","Undenominational","46291","44","60","42","410","535","385","480","18","23","10061998","2831129","490568"
"112260","Claremont McKenna College","2009","Not applicable","100015","93","16","40","630","760","660","740","29","33","78147000","26307000","399711000"
"112394","Cogswell College","2009","Not applicable","69400","35","89","63","550","650","420","660",,,"5933073","1754700","30260"
"115409","Harvey Mudd College","2009","Not applicable","105555","91","32","28","680","770","740","790","32","35","46874666","18915556","194705411"
