"unitid","institution name","year","EF2009A.Level of student","EF2009A.Grand total","EF2009A.Grand total women","EF2009A.Asian total - new","EF2009A.Black or African American total - new","EF2009A.Hispanic total - new","IDX_EF"
"100812","Athens State University","2009","All students, Undergraduate total","3511","2315","40","437","36","-2"
"100937","Birmingham Southern College","2009","All students, Undergraduate total","1508","752",,,,"-2"
"101073","Concordia College Alabama","2009","All students, Undergraduate total","568","247",,,,"-2"
"101116","South University-Montgomery","2009","All students, Undergraduate total","599","447","5","417","7","-2"
"101435","Huntingdon College","2009","All students, Undergraduate total","1075","556",,,,"-2"
"101541","Judson College","2009","All students, Undergraduate total","313","299",,,,"-2"
"101675","Miles College","2009","All students, Undergraduate total","1791","943",,,,"-2"
"101693","University of Mobile","2009","All students, Undergraduate total","1415","930","6","306","9","-2"
"101912","Oakwood University","2009","All students, Undergraduate total","1859","1089",,,,"-2"
"102234","Spring Hill College","2009","All students, Undergraduate total","1310","812",,,,"-2"
"102270","Stillman College","2009","All students, Undergraduate total","1041","598",,,,"-2"
"102298","Talladega College","2009","All students, Undergraduate total","700","419",,,,"-2"
"104090","Brookline College-Phoenix","2009","All students, Undergraduate total","1313","1135",,,,"-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2009","All students, Undergraduate total","1627","302",,,,"-2"
"105899","Arizona Christian University","2009","All students, Undergraduate total","401","200","4","15","26","-2"
"106342","Lyon College","2009","All students, Undergraduate total","614","337",,,,"-2"
"106412","University of Arkansas at Pine Bluff","2009","All students, Undergraduate total","3651","2126",,,,"-2"
"106713","Central Baptist College","2009","All students, Undergraduate total","625","292","4","101","15","-2"
"107080","Hendrix College","2009","All students, Undergraduate total","1456","820",,,,"-2"
"107512","Ouachita Baptist University","2009","All students, Undergraduate total","1447","764","7","98","28","-2"
"107558","University of the Ozarks","2009","All students, Undergraduate total","625","320","6","25","29","-2"
"107600","Philander Smith College","2009","All students, Undergraduate total","668","419","1","636","6","-2"
"107877","Williams Baptist College","2009","All students, Undergraduate total","619","348","1","9","3","-2"
"108092","University of Arkansas-Fort Smith","2009","All students, Undergraduate total","7335","4238","281","287","432","-2"
"111188","California State University Maritime Academy","2009","All students, Undergraduate total","823","118",,,,"-2"
"112084","San Diego Christian College","2009","All students, Undergraduate total","421","198",,,,"-2"
"112260","Claremont McKenna College","2009","All students, Undergraduate total","1218","548",,,,"-2"
"112394","Cogswell College","2009","All students, Undergraduate total","199","31","4","7","23","-2"
"115409","Harvey Mudd College","2009","All students, Undergraduate total","763","276",,,,"-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2009","All students, Undergraduate total","726","609",,,,"-2"
"116846","American Jewish University","2009","All students, Undergraduate total","113","61",,,,"-2"
"118541","Marymount California University","2009","All students, Undergraduate total","569","289","38","0","0","-2"
"120254","Occidental College","2009","All students, Undergraduate total","1972","1111",,,,"-2"
"120865","Pacific Union College","2009","All students, Undergraduate total","1526","859","338","81","276","-2"
"121257","Pitzer College","2009","All students, Undergraduate total","1043","615",,,,"-2"
"121345","Pomona College","2009","All students, Undergraduate total","1550","771",,,,"-2"
"122728","William Jessup University","2009","All students, Undergraduate total","554","311","16","38","43","-2"
"123165","Scripps College","2009","All students, Undergraduate total","906","906",,,,"-2"
"124292","Thomas Aquinas College","2009","All students, Undergraduate total","345","184","2","0","33","-2"
"125727","Westmont College","2009","All students, Undergraduate total","1304","815",,,,"-2"
"125763","Whittier College","2009","All students, Undergraduate total","1358","724",,,,"-2"
"126678","Colorado College","2009","All students, Undergraduate total","2000","1066",,,,"-2"
"127185","Fort Lewis College","2009","All students, Undergraduate total","3770","1862",,,,"-2"
"127556","Colorado Mesa University","2009","All students, Undergraduate total","6939","3930",,,,"-2"
"127680","National American University-Colorado Springs","2009","All students, Undergraduate total","343","195","8","51","19","-2"
"128328","United States Air Force Academy","2009","All students, Undergraduate total","4620","931",,,,"-2"
"128780","Charter Oak State College","2009","All students, Undergraduate total","2079","1301",,,,"-2"
