"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2010","Not applicable",,,"68726",,,,,,,,,,
"100937","Birmingham Southern College","2010","United Methodist","66","25","60604","63","530","640","520","640","24","29","62708692","17333708","56636530"
"101073","Concordia College Alabama","2010","Lutheran Church - Missouri Synod",,,"38211","4",,,,,,,"8595371","2821113","2050030"
"101116","South University-Montgomery","2010","Not applicable","93","90","47500","14",,,,,,,,,
"101435","Huntingdon College","2010","United Methodist","62","35","50187","47","470","540","460","540","20","24","18270813","6396132","38796848"
"101541","Judson College","2010","Baptist","82","38","50907","39","450","580","420","520","19","24","7763440","2781902","13225806"
"101675","Miles College","2010","Christian Methodist Episcopal",,,"35132","25",,,,,,,"25168124","7496451","13327732"
"101693","University of Mobile","2010","Southern Baptist","75","36","43282","40","476","586","462","598","19","27","23687657","8959085","11314386"
"101912","Oakwood University","2010","Seventh Day Adventists","51","39","47538","40","420","550","410","520","18","21","42307290","12574495","8096554"
"102234","Spring Hill College","2010","Roman Catholic","53","16","52718","64","480","600","490","580","21","26","36655935","8970672","19391645"
"102270","Stillman College","2010","Presbyterian Church (USA)","49","21","45754","24","388","450","380","450","16","18","21513752","4654660","16524913"
"102298","Talladega College","2010","United Church of Christ",,,"42329","19",,,,,,,"13371300","3473626","4853014"
"104090","Brookline College-Phoenix","2010","Not applicable",,,"42819","21",,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2010","Not applicable","82","30","70478","60","480","600","510","650","22","28",,,
"105899","Arizona Christian University","2010","Undenominational","68","51","47054","47","440","560","350","510","19","24","6311374","2816552","1861417"
"106342","Lyon College","2010","Presbyterian Church (USA)","67","29","54972","51","460","610","480","590","22","27","16384601","5939822","44040527"
"106412","University of Arkansas at Pine Bluff","2010","Not applicable","30","53","47401","24","330","455","350","480","14","18",,,
"106713","Central Baptist College","2010","Baptist","65","94","40166","35","440","540","410","570","19","24","5705185","1955511","1987604"
"107080","Hendrix College","2010","United Methodist","83","31","63793","60","600","700","580","680","27","32","42486189","17315990","146378289"
