"unitid","institution name","year","IC2011.Religious affiliation","DRVHR2011.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVIC2011.Percent admitted - total","DRVIC2011.Admissions yield - total","IC2011.SAT Critical Reading 25th percentile score","IC2011.SAT Critical Reading 75th percentile score","IC2011.SAT Math 25th percentile score","IC2011.SAT Math 75th percentile score","IC2011.ACT Composite 25th percentile score","IC2011.ACT Composite 75th percentile score","DRVGR2011.Graduation rate - bachelor's degree within 6 years, total","F1011_F2.Total expenses","F1011_F2.Instruction-Total amount","F1011_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2011","Not applicable","69461",,,,,,,,,,,,
"100937","Birmingham Southern College","2011","United Methodist","64073","64","24","500","620","490","630","23","29","62","53119567","14955534","52386932"
"101073","Concordia College Alabama","2011","Lutheran Church - Missouri Synod","43059",,,,,,,,,"3","10724325","2975962","3292342"
"101116","South University-Montgomery","2011","Not applicable","38825","55","65",,,,,,,"8",,,
"101435","Huntingdon College","2011","United Methodist","51156","62","29","440","595","453","558","19","23","52","17786238","6448183","41582358"
"101541","Judson College","2011","Baptist","54858","74","38","430","560","410","510","19","25","38","8480598","2947863","14838884"
"101675","Miles College","2011","Christian Methodist Episcopal","37363",,,,,,,,,"20","24258696","7475427","15647186"
"101693","University of Mobile","2011","Southern Baptist","43587","81","50","430","549","433","577","20","26","43","22945220","9286279","12817487"
"101912","Oakwood University","2011","Seventh Day Adventists","49647","44","58","410","520","380","493","16","22","35","42335459","12311936","8514297"
"102234","Spring Hill College","2011","Roman Catholic","54679","49","11","503","610","470","588","21","26","61","41196471","9332907","19104168"
"102270","Stillman College","2011","Presbyterian Church (USA)","44664","46","19","380","440","420","475","16","19","34","21352644","4680338","18209397"
"102298","Talladega College","2011","United Church of Christ","42944",,,,,,,,,"20","14473611","3725381","5191639"
"104090","Brookline College-Phoenix","2011","Not applicable","44594",,,,,,,,,"57",,,
"104586","Embry-Riddle Aeronautical University-Prescott","2011","Not applicable","71423","82","32","498","600","518","630","23","28","57",,,
"105899","Arizona Christian University","2011","Undenominational","49440","57","60","460","570","450","560","19","24","31","8388928","3549549","1867761"
"106342","Lyon College","2011","Presbyterian Church (USA)","57730","65","28","490","690","500","660","23","28","50","17119368","6107779","44160233"
"106412","University of Arkansas at Pine Bluff","2011","Not applicable","47797","29","50","370","490","390","510","15","20","23",,,
"106713","Central Baptist College","2011","Baptist","42780","74","68","450","510","450","570","19","23","35","7698533","2279667","2155130"
"107080","Hendrix College","2011","United Methodist","63677","83","30","570","690","560","670","27","32","73","51454976","16676291","170587112"
"107512","Ouachita Baptist University","2011","Southern Baptist","52011","64","37","450","590","500","610","21","27","63","37931991","12954871","81263245"
"107558","University of the Ozarks","2011","Presbyterian Church (USA)","53813","85","24","445","525","475","570","20","26","46","18871835","6322830","90916531"
"107600","Philander Smith College","2011","United Methodist","44361","68","10","360","510","350","510","16","20","31","15546627","3831774","11574686"
"107877","Williams Baptist College","2011","Southern Baptist","43696","59","45",,,,,"19","24","35","6892156","2027414","9343692"
"108092","University of Arkansas-Fort Smith","2011","Not applicable","57864","56","61","440","570","470","580","19","24","23",,,
"111188","California State University Maritime Academy","2011","Not applicable","75022","69","34","460","580","500","600","19","26","62",,,
"112084","San Diego Christian College","2011","Undenominational","49963","39","39","430","550","410","540","19","23","31","10865981","2827196","536407"
"112260","Claremont McKenna College","2011","Not applicable","107977","14","49","630","720","670","760","29","32","91","82786000","28992000","543236000"
"112394","Cogswell College","2011","Not applicable","64435","54","57","470","560","490","630","19","26","43",,,
"115409","Harvey Mudd College","2011","Not applicable","107128","21","29","690","770","740","800","32","35","84","49949527","20071802","243124894"
"115773","Humphreys University-Stockton and Modesto Campuses","2011","Not applicable","49215",,,,,,,,,"53","9639760","4305202","161296"
"116846","American Jewish University","2011","Jewish","58451","95","30","470","605","448","578","20","22","44","23015349","3423859","22090280"
"118541","Marymount California University","2011","Roman Catholic","68996","45","26",,,,,,,,"21099995","5531747","8589458"
"120254","Occidental College","2011","Not applicable","87960","39","23","600","700","610","690","27","31","83","97969375","37166030","342393345"
"120865","Pacific Union College","2011","Seventh Day Adventists","45266","47","31","440","560","430","590","18","25","45","44849298","13466227","23362014"
"121257","Pitzer College","2011","Not applicable","92252","24","30","610","685","600","679",,,"81","48865913","21452093","113730534"
"121345","Pomona College","2011","Not applicable","107983","14","39","680","780","690","770","31","34","95","128616000","53804000","1700454000"
"122728","William Jessup University","2011","Other Protestant","51368","65","47","460","570","450","540","19","25","54","14893952","4259303","1271580"
"123165","Scripps College","2011","Not applicable","95157","36","33","640","740","640","710","29","32","88","55778947","27493996","266869354"
"124292","Thomas Aquinas College","2011","Roman Catholic","83001","79","68","610","710","550","660","25","29","69","17520866","4930365","13428578"
"125727","Westmont College","2011","Not applicable","78273","61","23","540","650","540","650","23","29","77","54357863","19018278","72016847"
"125763","Whittier College","2011","Not applicable","82442","71","20","480","580","480","590","20","26","55","64236597","24727313",
"126678","Colorado College","2011","Not applicable","90815","26","39",,,,,,,"88","104584817","40083802","509353971"
"127185","Fort Lewis College","2011","Not applicable","56611","71","39","460","570","460","560","20","25","37",,,
