"unitid","institution name","year","EF2015A.Level of student","EF2015A.Grand total","EF2015A.Grand total women","EF2015A.Asian total","EF2015A.Black or African American total","EF2015A.Hispanic total","IDX_EF"
"100812","Athens State University","2015","All students, Undergraduate total","3041","1978","19","377","59","-2"
"100937","Birmingham Southern College","2015","All students, Undergraduate total","1346","670","72","153","28","-2"
"101073","Concordia College Alabama","2015","All students, Undergraduate total","487","191","1","452","12","-2"
"101116","South University-Montgomery","2015","All students, Undergraduate total","460","345","7","272","10","-2"
"101435","Huntingdon College","2015","All students, Undergraduate total","1166","583","7","251","40","-2"
"101541","Judson College","2015","All students, Undergraduate total","374","359","2","58","3","-2"
"101675","Miles College","2015","All students, Undergraduate total","1873","932","1","1811","14","-2"
"101693","University of Mobile","2015","All students, Undergraduate total","1442","911","10","330","25","-2"
"101912","Oakwood University","2015","All students, Undergraduate total","1703","991","4","1432","53","-2"
"102234","Spring Hill College","2015","All students, Undergraduate total","1352","817","15","177","53","-2"
"102270","Stillman College","2015","All students, Undergraduate total","895","449","0","817","11","-2"
"102298","Talladega College","2015","All students, Undergraduate total","989","463","2","879","43","-2"
"104090","Brookline College-Phoenix","2015","All students, Undergraduate total","1309","1046","51","216","364","-2"
"104586","Embry-Riddle Aeronautical University-Prescott","2015","All students, Undergraduate total","2205","503","111","46","91","-2"
"105899","Arizona Christian University","2015","All students, Undergraduate total","779","330","17","81","121","-2"
"106342","Lyon College","2015","All students, Undergraduate total","715","341","12","42","45","-2"
"106412","University of Arkansas at Pine Bluff","2015","All students, Undergraduate total","2545","1434","9","2350","33","-2"
"106713","Central Baptist College","2015","All students, Undergraduate total","881","410","2","194","26","-2"
"107080","Hendrix College","2015","All students, Undergraduate total","1327","705","60","65","64","-2"
"107512","Ouachita Baptist University","2015","All students, Undergraduate total","1538","789","11","140","58","-2"
"107558","University of the Ozarks","2015","All students, Undergraduate total","651","339","2","39","67","-2"
"107600","Philander Smith College","2015","All students, Undergraduate total","584","366","5","529","6","-2"
"107877","Williams Baptist College","2015","All students, Undergraduate total","541","269","2","42","20","-2"
"108092","University of Arkansas-Fort Smith","2015","All students, Undergraduate total","6714","3773","333","260","759","-2"
"111188","California State University Maritime Academy","2015","All students, Undergraduate total","1075","158","103","20","181","-2"
"112084","San Diego Christian College","2015","All students, Undergraduate total","909","492","24","106","192","-2"
"112260","Claremont McKenna College","2015","All students, Undergraduate total","1328","649","136","57","180","-2"
"112394","Cogswell College","2015","All students, Undergraduate total","633","169","102","29","115","-2"
"115409","Harvey Mudd College","2015","All students, Undergraduate total","825","382","166","18","105","-2"
"115773","Humphreys University-Stockton and Modesto Campuses","2015","All students, Undergraduate total","438","316","63","60","189","-2"
"116846","American Jewish University","2015","All students, Undergraduate total","73","37","1","0","2","-2"
"118541","Marymount California University","2015","All students, Undergraduate total","1059","567","49","97","390","-2"
"120254","Occidental College","2015","All students, Undergraduate total","2021","1145","260","102","312","-2"
"120865","Pacific Union College","2015","All students, Undergraduate total","1550","907","298","133","434","-2"
"121257","Pitzer College","2015","All students, Undergraduate total","1067","608","95","54","161","-2"
"121345","Pomona College","2015","All students, Undergraduate total","1663","837","228","121","246","-2"
"122728","William Jessup University","2015","All students, Undergraduate total","1097","638","47","52","203","-2"
"123165","Scripps College","2015","All students, Undergraduate total","973","973","157","36","111","-2"
"124292","Thomas Aquinas College","2015","All students, Undergraduate total","377","187","6","1","56","-2"
"125727","Westmont College","2015","All students, Undergraduate total","1297","789","95","18","189","-2"
"125763","Whittier College","2015","All students, Undergraduate total","1648","924","167","87","728","-2"
"126678","Colorado College","2015","All students, Undergraduate total","2118","1136","103","54","199","-2"
"127185","Fort Lewis College","2015","All students, Undergraduate total","3694","1892","24","45","393","-2"
"127556","Colorado Mesa University","2015","All students, Undergraduate total","9299","4992","141","226","1580","-2"
"127680","National American University-Colorado Springs","2015","All students, Undergraduate total","221","121","7","48","37","-2"
"128328","United States Air Force Academy","2015","All students, Undergraduate total","4111","966","196","232","429","-2"
"128780","Charter Oak State College","2015","All students, Undergraduate total","1735","1178","20","286","227","-2"
"128902","Connecticut College","2015","All students, Undergraduate total","1918","1194","83","71","162","-2"
"129774","Mitchell College","2015","All students, Undergraduate total","723","317","12","100","83","-2"
"130590","Trinity College","2015","All students, Undergraduate total","2289","1089","89","137","166","-2"
"130624","United States Coast Guard Academy","2015","All students, Undergraduate total","898","313","60","38","90","-2"
"130697","Wesleyan University","2015","All students, Undergraduate total","2897","1548","237","225","307","-2"
