"unitid","institution name","year","HD2017.Carnegie Classification 2015: Basic","IC2017.Religious affiliation","DRVHR2017.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2017.Graduation rate - Bachelor degree within 6 years, total","DRVADM2017.Percent admitted - total","DRVADM2017.Admissions yield - total","ADM2017.SAT Evidence-Based Reading and Writing 25th percentile score","ADM2017.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2017.SAT Math 25th percentile score","ADM2017.SAT Math 75th percentile score","ADM2017.ACT Composite 25th percentile score","ADM2017.ACT Composite 75th percentile score","F1617_F2.Total expenses","F1617_F2.Instruction-Total amount","F1617_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","74160",,,,,,,,,,,,
"100937","Birmingham Southern College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","69967","66","62","22","520","630","510","630","23","29","47596268","14763232","53528445"
"101073","Concordia College Alabama","2017","Baccalaureate Colleges: Diverse Fields","Lutheran Church - Missouri Synod","48678","5",,,,,,,,,"9784349","3436643","53210"
"101116","South University-Montgomery","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","43470","5",,,,,,,,,,,
"101435","Huntingdon College","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","61657","37","56","25","490","595","500","580","19","24","22159981","7257017","48175439"
"101541","Judson College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Baptist","53392","32","51","26",,,,,"18","25","9523190","3591600","16146614"
"101675","Miles College","2017","Baccalaureate Colleges: Diverse Fields","Christian Methodist Episcopal","39897","21",,,,,,,,,"31452545","8033891","20938945"
"101693","University of Mobile","2017","Baccalaureate Colleges: Diverse Fields","Southern Baptist","44570","45","47","32","460","560","450","540","20","25","28492888","9065421","21912486"
"101912","Oakwood University","2017","Baccalaureate Colleges: Diverse Fields","Seventh Day Adventist","44398","48","47","32","460","570","430","530","17","22","51255099","11210666","15646791"
"102234","Spring Hill College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Roman Catholic","59846","53","46","10","515","600","510","585","21","26","44559266","11215305","19718042"
"102270","Stillman College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","41765","28","48","7",,,,,,,"13888623","2821679","17847927"
"102298","Talladega College","2017","Baccalaureate Colleges: Diverse Fields","United Church of Christ","48842","49",,,,,,,,,"15616205","4052199","2423263"
"104090","Brookline College-Phoenix","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","52868","35",,,,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","81585","60","77","41","560","670","570","680","23","29",,"30969000","37359164"
"105899","Arizona Christian University","2017","Baccalaureate Colleges: Diverse Fields","Undenominational","46677","47","64","40","430","540","420","540","15","21","14519641","2901618","1054850"
"106342","Lyon College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","59216","52","64","18","510","602","520","632","22","28","22976054","6791270","61060242"
"106412","University of Arkansas at Pine Bluff","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","52615","29","47","25","448","545","435","515","16","20",,,
"106713","Central Baptist College","2017","Baccalaureate Colleges: Diverse Fields","Baptist","48205","23","68","53","420","555","468","535","18","22","11361850","2559292","3219881"
"107080","Hendrix College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","68416","75","80","29","560","710","540","700","24","31","55679937","17753185","201015739"
"107512","Ouachita Baptist University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Southern Baptist","57572","64","71","37","540","640","480","620","21","28","44047533","15276774","108181009"
"107558","University of the Ozarks","2017","Baccalaureate Colleges: Diverse Fields","Presbyterian Church (USA)","58697","51","89","29","470","590","460","590","18","23","21627064","6367409","110874110"
