"unitid","institution name","year","DRVGR2010_RV.Graduation rate - Bachelor degree within 6 years, total"
"100812","Athens State University","2010",
"100937","Birmingham Southern College","2010","63"
"101073","Concordia College Alabama","2010","4"
"101116","South University-Montgomery","2010","14"
"101435","Huntingdon College","2010","47"
"101541","Judson College","2010","39"
"101675","Miles College","2010","25"
"101693","University of Mobile","2010","40"
"101912","Oakwood University","2010","40"
"102234","Spring Hill College","2010","64"
"102270","Stillman College","2010","24"
"102298","Talladega College","2010","19"
"104090","Brookline College-Phoenix","2010","21"
"104586","Embry-Riddle Aeronautical University-Prescott","2010","60"
"105899","Arizona Christian University","2010","47"
"106342","Lyon College","2010","51"
"106412","University of Arkansas at Pine Bluff","2010","24"
"106713","Central Baptist College","2010","35"
"107080","Hendrix College","2010","60"
"107512","Ouachita Baptist University","2010","57"
"107558","University of the Ozarks","2010","53"
"107600","Philander Smith College","2010","16"
"107877","Williams Baptist College","2010","44"
"108092","University of Arkansas-Fort Smith","2010","21"
"111188","California State University Maritime Academy","2010","61"
"112084","San Diego Christian College","2010","59"
"112260","Claremont McKenna College","2010","93"
"112394","Cogswell College","2010","50"
"115409","Harvey Mudd College","2010","87"
"115773","Humphreys University-Stockton and Modesto Campuses","2010","70"
"116846","American Jewish University","2010","90"
"118541","Marymount California University","2010",
"120254","Occidental College","2010","85"
"120865","Pacific Union College","2010","33"
"121257","Pitzer College","2010","79"
"121345","Pomona College","2010","94"
"122728","William Jessup University","2010","40"
"123165","Scripps College","2010","82"
"124292","Thomas Aquinas College","2010","73"
"125727","Westmont College","2010","77"
"125763","Whittier College","2010","66"
"126678","Colorado College","2010","87"
"127185","Fort Lewis College","2010","38"
"127556","Colorado Mesa University","2010","26"
"127680","National American University-Colorado Springs","2010","33"
"128328","United States Air Force Academy","2010","81"
"128780","Charter Oak State College","2010",
"128902","Connecticut College","2010","87"
"129774","Mitchell College","2010","41"
"130590","Trinity College","2010","86"
"130624","United States Coast Guard Academy","2010","77"
"130697","Wesleyan University","2010","94"
"131098","Wesley College","2010","32"
"132602","Bethune-Cookman University","2010","37"
"133492","Eckerd College","2010","69"
"133526","Edward Waters College","2010","15"
"133711","Flagler College-St Augustine","2010","64"
"133979","Florida Memorial University","2010","36"
"135610","Trinity International University-Florida","2010",
"138275","Warner University","2010","35"
"138293","Webber International University","2010","100"
"138600","Agnes Scott College","2010","68"
"138868","Point University","2010","22"
"139205","Brewton-Parker College","2010","22"
"139393","Covenant College","2010","55"
"139630","Emmanuel College","2010","34"
"140234","LaGrange College","2010","61"
"140340","Herzing University-Atlanta","2010","28"
"140553","Morehouse College","2010","57"
"140696","Oglethorpe University","2010","58"
"140720","Paine College","2010","26"
"140872","Reinhardt University","2010","31"
"140988","Shorter University","2010","51"
"141060","Spelman College","2010","73"
"141185","Toccoa Falls College","2010","50"
"141237","Truett McConnell University","2010","68"
"141325","Wesleyan College","2010","49"
"141361","Young Harris College","2010",
"141981","University of Hawaii-West Oahu","2010",
"142294","The College of Idaho","2010","58"
"142328","Lewis-Clark State College","2010","29"
"142522","Brigham Young University-Idaho","2010","55"
"143084","Augustana College","2010","77"
"143288","Blackburn College","2010","44"
"144883","East-West University","2010","18"
"144971","Eureka College","2010","39"
"145646","Illinois Wesleyan University","2010","81"
"145691","Illinois College","2010","61"
"146393","Kendall College","2010","38"
"146427","Knox College","2010","76"
"146481","Lake Forest College","2010","70"
"146825","MacMurray College","2010","35"
"147244","Millikin University","2010","59"
"147341","Monmouth College","2010","55"
"148016","Principia College","2010","74"
"149505","Trinity Christian College","2010","61"
"149781","Wheaton College","2010","88"
"150400","DePauw University","2010","85"
"150455","Earlham College","2010","73"
"150604","Franklin College","2010","54"
"150668","Goshen College","2010","68"
"150756","Hanover College","2010","66"
"150774","Holy Cross College","2010","13"
"150941","Huntington University","2010","62"
"151333","Indiana University-Kokomo","2010","24"
"151777","Manchester University","2010","53"
"151810","Martin University","2010","19"
"152099","Oakland City University","2010","62"
"152266","Purdue University-North Central Campus","2010","14"
"152363","Saint Josephs College","2010","57"
"152381","Saint Mary-of-the-Woods College","2010","51"
"152390","Saint Mary's College","2010","82"
"152530","Taylor University","2010","78"
"152567","Trine University","2010","49"
"152673","Wabash College","2010","77"
"152992","Briar Cliff University","2010","56"
"153001","Buena Vista University","2010","58"
"153108","Central College","2010","64"
"153126","Clarke University","2010","64"
"153144","Coe College","2010","70"
"153162","Cornell College","2010","66"
"153250","Dordt College","2010","60"
"153375","Grand View University","2010","44"
"153384","Grinnell College","2010","88"
"153621","Iowa Wesleyan University","2010","37"
"153825","Loras College","2010","61"
"153834","Luther College","2010","74"
"154101","Northwestern College","2010","66"
"154350","Simpson College","2010","68"
"154518","Waldorf University","2010","36"
"154527","Wartburg College","2010","63"
"154712","Benedictine College","2010","52"
"154721","Bethany College","2010","37"
"154749","Bethel College-North Newton","2010","54"
"154855","Central Christian College of Kansas","2010","31"
"155414","Kansas Wesleyan University","2010","33"
"155511","McPherson College","2010","43"
"155627","Ottawa University-Ottawa","2010","44"
"155636","Ottawa University-Kansas City","2010",
"155937","Sterling College","2010","41"
"155973","Tabor College","2010","43"
"156189","Alice Lloyd College","2010","38"
"156295","Berea College","2010","64"
"156356","Brescia University","2010","45"
"156408","Centre College","2010","86"
"156745","Georgetown College","2010","68"
"157058","Kentucky State University","2010","25"
"157076","Kentucky Wesleyan College","2010","50"
"157100","Kentucky Christian University","2010","37"
"157535","University of Pikeville","2010","38"
"157818","Transylvania University","2010","76"
"158477","Centenary College of Louisiana","2010","60"
"158802","Dillard University","2010","28"
"159382","Louisiana State University-Alexandria","2010","11"
"160065","University of Holy Cross","2010","24"
"160959","College of the Atlantic","2010","69"
"160977","Bates College","2010","88"
"161004","Bowdoin College","2010","93"
"161086","Colby College","2010","90"
"161217","University of Maine at Augusta","2010","19"
"161226","University of Maine at Farmington","2010","59"
"161235","University of Maine at Fort Kent","2010","24"
"161244","University of Maine at Machias","2010","34"
"161299","Maine Maritime Academy","2010","65"
"161341","University of Maine at Presque Isle","2010","31"
"161572","Unity College","2010","50"
"162654","Goucher College","2010","66"
"163912","St Mary's College of Maryland","2010","77"
"163921","Sojourner-Douglass College","2010","29"
"163976","St. John's College","2010","73"
"164155","United States Naval Academy","2010","89"
"164216","Washington College","2010","71"
"164270","McDaniel College","2010","70"
"164465","Amherst College","2010","95"
"164720","Becker College","2010","27"
"165671","Emmanuel College","2010","62"
"165936","Gordon College","2010","71"
"166018","Hampshire College","2010","69"
"166124","College of the Holy Cross","2010","93"
"166939","Mount Holyoke College","2010","82"
"166948","Mount Ida College","2010","36"
"167251","Newbury College","2010","46"
"167288","Massachusetts College of Liberal Arts","2010","51"
"167455","Pine Manor College","2010","34"
"167792","Bard College at Simon's Rock","2010",
"167835","Smith College","2010","83"
"167996","Stonehill College","2010","85"
"168218","Wellesley College","2010","90"
"168281","Wheaton College","2010","76"
"168342","Williams College","2010","95"
"168528","Adrian College","2010","44"
"168546","Albion College","2010","74"
"168591","Alma College","2010","63"
"169080","Calvin College","2010","77"
"169363","Concordia University-Ann Arbor","2010","38"
"170286","Hillsdale College","2010",
"170301","Hope College","2010","78"
"170532","Kalamazoo College","2010","80"
"170639","Lake Superior State University","2010","39"
"170967","Rochester College","2010","36"
"171599","Olivet College","2010","41"
"171881","Kuyper College","2010","40"
"172440","Finlandia University","2010","29"
"173142","Bethany Lutheran College","2010","42"
"173258","Carleton College","2010","93"
"173300","Concordia College at Moorhead","2010","67"
"173647","Gustavus Adolphus College","2010","77"
"173902","Macalester College","2010","88"
"174075","University of Minnesota-Crookston","2010","37"
"174251","University of Minnesota-Morris","2010","66"
"174394","Sanford-Brown College-Mendota Heights","2010","28"
"174437","North Central University","2010","40"
"174747","College of Saint Benedict","2010","79"
"174792","Saint Johns University","2010","74"
"174844","St Olaf College","2010","85"
"174862","Crown College","2010","53"
"175430","Blue Mountain College","2010","40"
"175980","Millsaps College","2010","68"
"176318","Rust College","2010","27"
"176406","Tougaloo College","2010","40"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2010","45"
"177144","Culver-Stockton College","2010","53"
"177542","Hannibal-LaGrange University","2010","53"
"177551","Harris-Stowe State University","2010","13"
"178341","Missouri Southern State University","2010","34"
"178369","Missouri Valley College","2010","32"
"178387","Missouri Western State University","2010","29"
"178697","College of the Ozarks","2010","68"
"179946","Westminster College","2010","63"
"179955","William Jewell College","2010","65"
"180106","Carroll College","2010","58"
"180258","University of Providence","2010","21"
"180416","Montana Tech of the University of Montana","2010","51"
"180522","Montana State University-Northern","2010","29"
"180595","Rocky Mountain College","2010","52"
"180692","The University of Montana-Western","2010","29"
"181020","Doane University-Arts & Sciences","2010","55"
"181093","Grace University","2010","37"
"181127","Hastings College","2010","65"
"181330","Midland University","2010","52"
"181738","Union College","2010","57"
"181853","York College","2010","34"
"182634","Colby-Sawyer College","2010","63"
"183071","University of New Hampshire at Manchester","2010","36"
"183239","Saint Anselm College","2010","74"
"183257","Granite State College","2010","54"
"183275","Thomas More College of Liberal Arts","2010","45"
"183822","Bloomfield College","2010","29"
"184348","Drew University","2010","71"
"189088","Bard College","2010","76"
"189097","Barnard College","2010","89"
"189848","Cazenovia College","2010","45"
"190099","Colgate University","2010","88"
"190248","Concordia College-New York","2010","45"
"190372","Cooper Union for the Advancement of Science and Art","2010","89"
"190646","CUNY Medgar Evers College","2010","23"
