UnitID,Institution Name,Religious affiliation (IC2017),Total expenses (F1617_F2),Value of endowment assets at the end of the fiscal year (F1617_F2),Instruction-Total amount (F1617_F2),Percent admitted - total (DRVADM2017),Admissions yield - total (DRVADM2017),Graduation rate - Bachelor degree within 6 years  total (DRVGR2017),Average salary equated to 9 months of full-time instructional staff - all ranks (DRVHR2017),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2017),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2017),ACT Composite 25th percentile score (ADM2017),ACT Composite 75th percentile score (ADM2017),SAT Math 25th percentile score (ADM2017),SAT Math 75th percentile score (ADM2017),Religious affiliation (IC2016),Total expenses (F1516_F2),Value of endowment assets at the end of the fiscal year (F1516_F2),Instruction-Total amount (F1516_F2),Percent admitted - total (DRVADM2016),Admissions yield - total (DRVADM2016),Graduation rate - Bachelor degree within 6 years  total (DRVGR2016),Average salary equated to 9 months of full-time instructional staff - all ranks (DRVHR2016),SAT Critical Reading 25th percentile score (ADM2016),SAT Critical Reading 75th percentile score (ADM2016),ACT Composite 25th percentile score (ADM2016),ACT Composite 75th percentile score (ADM2016),SAT Math 25th percentile score (ADM2016),SAT Math 75th percentile score (ADM2016),Religious affiliation (IC2015),Total expenses (F1415_F2),Instruction-Total amount (F1415_F2),Value of endowment assets at the end of the fiscal year (F1415_F2),Percent admitted - total (DRVADM2015),Admissions yield - total (DRVADM2015),Graduation rate - Bachelor degree within 6 years  total (DRVGR2015),Average salary equated to 9 months of full-time instructional staff - all ranks (DRVHR2015),SAT Critical Reading 25th percentile score (ADM2015),SAT Critical Reading 75th percentile score (ADM2015),ACT Composite 25th percentile score (ADM2015),ACT Composite 75th percentile score (ADM2015),SAT Math 25th percentile score (ADM2015),SAT Math 75th percentile score (ADM2015),Religious affiliation (IC2011),SAT Critical Reading 25th percentile score (IC2011),SAT Critical Reading 75th percentile score (IC2011),ACT Composite 25th percentile score (IC2011),ACT Composite 75th percentile score (IC2011),SAT Math 25th percentile score (IC2011),SAT Math 75th percentile score (IC2011),Total expenses (F1011_F2),Instruction-Total amount (F1011_F2),Value of endowment assets at the end of the fiscal year (F1011_F2),Percent admitted - total (DRVIC2011),Admissions yield - total (DRVIC2011),Average salary equated to 9-month contracts of full-time instructional staff - all ranks (DRVHR2011),Religious affiliation (IC2010),SAT Critical Reading 25th percentile score (IC2010),SAT Critical Reading 75th percentile score (IC2010),ACT Composite 25th percentile score (IC2010),ACT Composite 75th percentile score (IC2010),SAT Math 25th percentile score (IC2010),SAT Math 75th percentile score (IC2010),Total expenses (F0910_F2),Instruction-Total amount (F0910_F2),Value of endowment assets at the end of the fiscal year (F0910_F2),Percent admitted - total (DRVIC2010),Admissions yield - total (DRVIC2010),Average salary equated to 9-month contracts of full-time instructional staff - all ranks (DRVHR2010),Religious affiliation (IC2009),SAT Critical Reading 25th percentile score (IC2009),SAT Critical Reading 75th percentile score (IC2009),ACT Composite 25th percentile score (IC2009),ACT Composite 75th percentile score (IC2009),SAT Math 25th percentile score (IC2009),SAT Math 75th percentile score (IC2009),Total expenses (F0809_F2),Instruction-Total amount (F0809_F2),Value of endowment assets at the end of the fiscal year (F0809_F2),Percent admitted - total (DRVIC2009),Admissions yield - total (DRVIC2009),Average salary equated to 9-month contracts of full-time instructional staff - all ranks (DRVHR2009),Grand total (EF2017  All students  Undergraduate total),Total women (EF2017  All students  Undergraduate total),Asian total (EF2017A  All students  Undergraduate total),Black or African American total (EF2017A  All students  Undergraduate total),Hispanic total (EF2017A  All students  Undergraduate total),Grand total (EF2016  All students  Undergraduate total),Total women (EF2016  All students  Undergraduate total),Asian total (EF2016A  All students  Undergraduate total),Black or African American total (EF2016A  All students  Undergraduate total),Hispanic total (EF2016A  All students  Undergraduate total),Grand total (EF2015  All students  Undergraduate total),Total women (EF2015  All students  Undergraduate total),Asian total (EF2015A  All students  Undergraduate total),Black or African American total (EF2015A  All students  Undergraduate total),Hispanic total (EF2015A  All students  Undergraduate total),Grand total (EF2011  All students  Undergraduate total),Total women (EF2011  All students  Undergraduate total),Asian total (EF2011A  All students  Undergraduate total),Black or African American total (EF2011A  All students  Undergraduate total),Hispanic total (EF2011A  All students  Undergraduate total),Grand total (EF2010  All students  Undergraduate total),Total women (EF2010  All students  Undergraduate total),Asian total (EF2010A  All students  Undergraduate total),Black or African American total (EF2010A  All students  Undergraduate total),Hispanic total (EF2010A  All students  Undergraduate total),Grand total (EF2009  All students  Undergraduate total),Total women (EF2009  All students  Undergraduate total),Asian total - new (EF2009A  All students  Undergraduate total),Black or African American total - new (EF2009A  All students  Undergraduate total),Hispanic total - new (EF2009A  All students  Undergraduate total),
168528,Adrian College,71,48057512,35135415,14191537,60,18,52,70616,480,580,19,25,470,568,71,46037117,33612890,14229690,58,15,53,70923,420,505,19,24,420,510,71,44724557,13852128,31441157,61,16,54,70101,408,540,19,24,440,573,71,,,19,24,,,38902579,11015178,22959880,64,22,63689,71,,,20,25,,,35113953,9844001,22360694,61,21,63574,71,,,20,25,,,35061598,9756866,19602597,58,22,61797,1671,829,6,112,84,1653,799,7,116,92,1687,795,7,153,81,1676,844,4,135,51,1670,811,6,98,30,1608,752,,,,
138600,Agnes Scott College,66,55209213,229886873,17164695,66,25,66,82355,,,,,,,66,53833355,223093814,16574235,65,30,70,81677,,,,,,,66,49773088,14070533,261455879,62,30,68,81117,,,,,,,66,,,,,,,49204332,15137468,259283516,46,22,72148,66,,,,,,,45435795,13627571,234972872,46,27,72214,66,,,,,,,46098489,13910181,230611588,46,26,70138,921,917,67,269,106,927,919,71,266,94,902,894,50,294,78,871,862,26,259,64,892,881,26,238,51,842,833,33,205,42,
168546,Albion College,71,57104868,176849628,17620890,71,19,57,67624,510,610,20,26,500,590,71,59500080,173073245,19810840,72,17,71,66072,430,590,20,26,450,620,71,55025646,19002608,181488489,80,21,65,66114,500,600,21,27,440,560,71,520,630,22,28,570,670,46864363,17393717,168354268,69,26,60284,71,540,600,25,28,610,630,52561178,19398376,143511577,69,24,60305,71,530,660,22,28,560,670,55555207,18795870,128225173,79,31,59980,1568,825,41,199,143,1418,739,38,130,94,1376,688,27,81,63,1514,742,27,56,41,1602,831,33,49,43,1738,909,0,0,0,
210571,Albright College,71,54428540,67742285,21936611,50,11,53,58604,,,,,,,71,53449958,62894902,21969045,51,13,54,58526,,,,,,,71,54443167,23014339,65568547,49,13,58,58680,,,,,,,71,480,570,19,25,480,580,50640091,21483139,53310925,48,16,64191,71,,,,,,,49294231,19956362,43959254,48,16,64285,71,,,,,,,48460602,19574475,38366409,56,17,62916,2015,1195,51,419,249,2304,1391,54,460,235,2239,1355,61,390,215,2317,1317,38,295,177,2334,1360,37,285,137,2282,1341,,,,
237118,Alderson Broaddus University,52,26065246,17923351,5914442,41,18,47,45076,470,540,18,23,460,540,52,26726383,17715229,6215706,41,15,49,44728,430,510,18,23,440,520,52,25360857,6135647,5137746,54,15,36,45153,440,510,19,23,450,530,52,470,560,19,24,460,580,14971930,5805685,18149485,70,24,43773,52,440,570,19,24,450,560,15290896,5894840,16024512,71,24,42713,52,440,530,19,23,420,510,15176595,5824649,15761591,74,37,41677,952,424,8,222,44,981,450,11,177,41,1085,503,11,172,46,564,388,7,25,10,566,364,6,18,9,592,389,5,25,10,
156189,Alice Lloyd College,-2,14246296,40783945,2843862,26,15,100,43492,490,540,18,23,450,490,-2,13825599,38008067,2869064,22,12,31,42551,440,590,18,25,470,540,-2,13485220,2559886,37046188,35,11,28,42561,430,520,19,24,460,480,-2,440,530,20,22,470,600,11815112,2433001,28198004,33,24,37946,-2,420,650,18,22,430,590,11635452,2322181,25786632,7,100,33379,-2,460,590,18,22,420,520,11172651,2303725,22699252,9,100,33546,598,331,2,10,15,605,331,0,5,6,616,323,0,9,3,593,318,1,8,2,598,309,1,11,3,595,334,,,,
210669,Allegheny College,71,77063260,204512720,25759378,68,14,75,75025,580,670,23,29,560,650,71,77664739,181636170,26589179,68,17,76,74310,,,,,,,71,79927462,26830472,183134080,68,17,75,73665,,,,,,,71,530,660,23,29,540,640,73198142,24558520,153504500,58,20,72538,71,560,670,24,29,560,660,70257030,23345510,134557798,59,23,71625,71,550,660,23,29,560,650,65426963,21442377,124969707,66,22,69542,1802,982,50,155,155,1920,1011,47,139,151,1931,1041,43,111,133,2123,1124,66,96,104,2153,1183,64,89,77,2132,1169,,,,
217624,Allen University,51,13768248,312884,2989638,,,24,47773,,,,,,,51,15395229,734959,3341162,,,18,43878,,,,,,,51,16163690,4442586,312884,,,19,42102,,,,,,,51,,,,,,,23203713,6377533,,,,48408,51,,,,,,,18050684,3937991,,,,43531,51,,,,,,,19146451,2607877,307322,,,46021,590,313,1,552,4,600,324,0,587,6,625,338,0,611,1,644,382,0,640,1,848,509,0,777,0,827,466,,,,
168591,Alma College,66,49521882,120712604,17109191,64,13,68,65335,520,630,20,27,510,600,66,48294142,109946264,16339833,68,14,67,65770,420,590,21,26,460,593,66,46783052,16160970,114761906,68,20,62,65871,518,650,21,27,510,670,66,488,712,22,27,512,630,39776516,13339957,101187131,73,28,65779,66,540,640,22,27,540,640,37234862,11821738,85138836,19,100,64649,66,470,708,21,27,483,668,33915208,11240093,79711033,78,30,63291,1426,811,20,48,72,1451,838,21,56,71,1385,796,20,51,61,1417,816,23,33,48,1422,808,19,28,49,1444,803,,,,
116846,American Jewish University,80,24622259,22193737,3685242,83,29,29,68070,,,,,,,80,24601813,21021049,3821558,60,21,44,66161,,,,,,,80,22932628,3938984,22559067,80,24,68,67077,,,,,,,80,470,605,20,22,448,578,23015349,3423859,22090280,95,30,58451,80,440,580,19,22,450,560,22945303,3593869,21082636,86,47,62028,80,450,530,18,20,425,500,23725239,6999650,19255288,96,47,65966,67,38,1,0,0,65,35,1,1,0,73,37,1,0,2,135,65,1,3,5,132,72,1,4,8,113,61,,,,
