"VariableName","Value","ValueLabel"
"Religious affiliation (IC2017)","51","African Methodist Episcopal"
"Religious affiliation (IC2017)","24","African Methodist Episcopal Zion Church"
"Religious affiliation (IC2017)","52","American Baptist"
"Religious affiliation (IC2017)","22","American Evangelical Lutheran Church"
"Religious affiliation (IC2017)","27","Assemblies of God Church"
"Religious affiliation (IC2017)","54","Baptist"
"Religious affiliation (IC2017)","34","Christ and Missionary Alliance Church"
"Religious affiliation (IC2017)","61","Christian Church (Disciples of Christ)"
"Religious affiliation (IC2017)","48","Christian Churches and Churches of Christ"
"Religious affiliation (IC2017)","55","Christian Methodist Episcopal"
"Religious affiliation (IC2017)","35","Christian Reformed Church"
"Religious affiliation (IC2017)","58","Church of Brethren"
"Religious affiliation (IC2017)","57","Church of God"
"Religious affiliation (IC2017)","74","Churches of Christ"
"Religious affiliation (IC2017)","102","Evangelical Christian"
"Religious affiliation (IC2017)","38","Evangelical Free Church of America"
"Religious affiliation (IC2017)","39","Evangelical Lutheran Church"
"Religious affiliation (IC2017)","64","Free Methodist"
"Religious affiliation (IC2017)","41","Free Will Baptist Church"
"Religious affiliation (IC2017)","65","Friends"
"Religious affiliation (IC2017)","105","General Baptist"
"Religious affiliation (IC2017)","42","Interdenominational"
"Religious affiliation (IC2017)","80","Jewish"
"Religious affiliation (IC2017)","94","Latter Day Saints (Mormon Church)"
"Religious affiliation (IC2017)","68","Lutheran Church - Missouri Synod"
"Religious affiliation (IC2017)","67","Lutheran Church in America"
"Religious affiliation (IC2017)","43","Mennonite Brethren Church"
"Religious affiliation (IC2017)","69","Mennonite Church"
"Religious affiliation (IC2017)","44","Moravian Church"
"Religious affiliation (IC2017)","78","Multiple Protestant Denomination"
"Religious affiliation (IC2017)","100","Original Free Will Baptist"
"Religious affiliation (IC2017)","79","Other Protestant"
"Religious affiliation (IC2017)","47","Pentecostal Holiness Church"
"Religious affiliation (IC2017)","103","Presbyterian"
"Religious affiliation (IC2017)","66","Presbyterian Church (USA)"
"Religious affiliation (IC2017)","73","Protestant Episcopal"
"Religious affiliation (IC2017)","49","Reformed Church in America"
"Religious affiliation (IC2017)","81","Reformed Presbyterian Church"
"Religious affiliation (IC2017)","30","Roman Catholic"
"Religious affiliation (IC2017)","95","Seventh Day Adventist"
"Religious affiliation (IC2017)","75","Southern Baptist"
"Religious affiliation (IC2017)","97","The Presbyterian Church in America"
"Religious affiliation (IC2017)","88","Undenominational"
"Religious affiliation (IC2017)","84","United Brethren Church"
"Religious affiliation (IC2017)","76","United Church of Christ"
"Religious affiliation (IC2017)","71","United Methodist"
"Religious affiliation (IC2017)","89","Wesleyan"
"Religious affiliation (IC2017)","33","Wisconsin Evangelical Lutheran Synod"
"Religious affiliation (IC2017)","99","Other (none of the above)"
"Religious affiliation (IC2017)","-2","Not applicable"
"Religious affiliation (IC2016)","51","African Methodist Episcopal"
"Religious affiliation (IC2016)","24","African Methodist Episcopal Zion Church"
"Religious affiliation (IC2016)","52","American Baptist"
"Religious affiliation (IC2016)","22","American Evangelical Lutheran Church"
"Religious affiliation (IC2016)","27","Assemblies of God Church"
"Religious affiliation (IC2016)","54","Baptist"
"Religious affiliation (IC2016)","34","Christ and Missionary Alliance Church"
"Religious affiliation (IC2016)","61","Christian Church (Disciples of Christ)"
"Religious affiliation (IC2016)","48","Christian Churches and Churches of Christ"
"Religious affiliation (IC2016)","55","Christian Methodist Episcopal"
"Religious affiliation (IC2016)","35","Christian Reformed Church"
"Religious affiliation (IC2016)","58","Church of Brethren"
"Religious affiliation (IC2016)","57","Church of God"
"Religious affiliation (IC2016)","74","Churches of Christ"
"Religious affiliation (IC2016)","102","Evangelical Christian"
"Religious affiliation (IC2016)","38","Evangelical Free Church of America"
"Religious affiliation (IC2016)","39","Evangelical Lutheran Church"
"Religious affiliation (IC2016)","64","Free Methodist"
"Religious affiliation (IC2016)","41","Free Will Baptist Church"
"Religious affiliation (IC2016)","65","Friends"
"Religious affiliation (IC2016)","105","General Baptist"
"Religious affiliation (IC2016)","42","Interdenominational"
"Religious affiliation (IC2016)","80","Jewish"
"Religious affiliation (IC2016)","94","Latter Day Saints (Mormon Church)"
