,UnitID,act2017,act2016,act2015,act2011,act2010,act2009,newgrade2017,newgrade2016,newgrade2015,newgrade2011,newgrade2010,newgrade2009
1,168528,22,22,22,22,22,22,1110,1110,1110,1110,1110,1110
2,138600,,,,,,,,,,,,
3,168546,23,23,24,25,26,25,1140,1140,1180,1210,1240,1210
4,210571,,,,22,,,,,,1110,,
5,237118,20,20,21,22,22,21,1040,1040,1080,1110,1110,1080
6,156189,20,22,22,21,20,20,1040,1110,1110,1080,1040,1040
7,210669,26,,,26,26,26,1240,,,1240,1240,1240
8,217624,,,,,,,,,,,,
9,168591,24,24,24,24,24,24,1180,1180,1180,1180,1180,1180
10,116846,,,,21,20,19,,,,1080,1040,1010
11,241128,,,,,,,,,,,,
12,164465,33,32,32,32,32,32,1460,1430,1430,1430,1430,1430
13,245847,,,,,,,,,,,,
14,105899,18,20,21,22,22,22,970,1040,1080,1110,1110,1110
15,100812,,,,,,,,,,,,
16,143084,,,,,,26,,,,,,1240
17,219000,26,26,26,26,26,25,1240,1240,1240,1240,1240,1210
18,222983,26,26,25,26,26,26,1240,1240,1210,1240,1240,1240
19,446048,24,24,24,24,25,24,1180,1180,1180,1180,1210,1180
20,231420,20,18,20,20,20,19,1040,970,1040,1040,1040,1010
21,189088,,,,,,,,,,,,
22,167792,,,,,,,,,,,,
23,189097,32,31,30,30,30,30,1430,1400,1370,1370,1370,1370
24,197911,20,20,20,20,20,18,1040,1040,1040,1040,1040,970
25,160977,,,,,,,,,,,,
26,384254,,,,,,,,,,,,
27,164720,23,24,22,18,18,20,1140,1180,1110,970,970,1040
28,197984,21,21,22,22,22,24,1080,1080,1110,1110,1110,1180
29,238333,,27,,28,27,28,,1280,,1310,1280,1310
30,217721,,,,,,,,,,,,
31,154712,25,24,24,24,24,24,1210,1180,1180,1180,1180,1180
32,197993,16,,,,,,890,,,,,
33,230816,,,,,,,,,,,,
34,156295,24,24,24,24,24,24,1180,1180,1180,1180,1180,1180
35,154721,20,20,20,22,22,22,1040,1040,1040,1110,1110,1110
36,237181,20,20,20,20,20,21,1040,1040,1040,1040,1040,1080
37,173142,22,24,23,24,23,22,1110,1180,1140,1180,1140,1110
38,154749,,,,23,24,25,,,,1140,1180,1210
39,132602,,,,18,17,18,,,,970,930,970
40,100937,26,26,26,26,26,26,1240,1240,1240,1240,1240,1240
41,143288,20,20,22,20,21,21,1040,1040,1110,1040,1080,1080
42,183822,16,18,17,,,,890,970,930,,,
43,175430,20,20,21,21,21,,1040,1040,1080,1080,1080,
44,231554,20,19,20,18,20,18,1040,1010,1040,970,1040,970
45,237215,19,20,20,20,18,18,1010,1040,1040,1040,970,970
46,201371,21,22,20,22,21,22,1080,1110,1040,1110,1080,1110
47,161004,,,,32,32,32,,,,1430,1430,1430
48,156356,21,23,22,22,20,21,1080,1140,1110,1110,1040,1080
49,198066,,,,20,20,18,,,,1040,1040,970
50,139205,16,,,17,18,17,890,,,930,970,930
51,152992,,,,,20,,,,,,1040,
52,231581,22,23,24,22,22,20,1110,1140,1180,1110,1110,1040
53,230047,24,24,24,24,24,24,1180,1180,1180,1180,1180,1180
54,142522,22,22,22,22,24,22,1110,1110,1110,1110,1180,1110
55,104090,,,,,,,,,,,,
56,210492,21,20,20,24,24,22,1080,1040,1040,1180,1180,1110
57,211273,31,30,30,28,28,28,1400,1370,1370,1310,1310,1310
58,211291,30,30,30,29,29,29,1370,1370,1370,1340,1340,1340
59,153001,22,22,22,22,23,22,1110,1110,1110,1110,1140,1110
60,111188,,,,22,23,22,,,,1110,1140,1110
61,169080,26,26,26,26,26,26,1240,1240,1240,1240,1240,1240
62,241386,,,,,,,,,,,,
63,363916,,,,,,,,,,,,
64,173258,32,32,31,31,31,31,1430,1430,1400,1400,1400,1400
65,180106,25,25,24,24,24,24,1210,1210,1180,1180,1180,1180
66,238476,24,24,25,24,24,24,1180,1180,1210,1180,1180,1180
67,230834,20,20,20,20,20,19,1040,1040,1040,1040,1040,1010
68,198215,20,21,21,,,22,1040,1080,1080,,,1110
69,189848,,22,,,21,,,1110,,,1080,
70,211468,22,22,22,22,21,25,1110,1110,1110,1110,1080,1210
71,201654,26,26,26,26,26,26,1240,1240,1240,1240,1240,1240
72,158477,25,25,24,24,25,24,1210,1210,1180,1180,1210,1180
73,106713,20,22,20,21,22,24,1040,1110,1040,1080,1110,1180
74,154855,20,20,,,,21,1040,1040,,,,1080
75,153108,24,24,23,24,24,24,1180,1180,1140,1180,1180,1180
76,176947,22,22,22,22,22,22,1110,1110,1110,1110,1110,1110
77,211477,,15,,,,,,850,,,,
78,201690,16,16,16,16,16,16,890,890,890,890,890,890
79,156408,28,28,28,28,28,28,1310,1310,1310,1310,1310,1310
80,128780,,,,,,,,,,,,
81,211608,,,,,,,,,,,,
82,198303,16,16,16,16,16,16,890,890,890,890,890,890
83,457697,,,,,,,,,,,,
84,217873,18,19,17,18,16,,970,1010,930,970,890,
85,112260,32,32,31,30,31,31,1430,1430,1400,1370,1400,1400
86,153126,22,22,22,23,22,23,1110,1110,1110,1140,1110,1140
87,153144,25,25,24,26,26,26,1210,1210,1180,1240,1240,1240
88,112394,,,,22,,,,,,1110,,
89,217907,19,20,20,21,20,20,1010,1040,1040,1080,1040,1040
90,161086,32,32,30,30,30,30,1430,1430,1370,1370,1370,1370
91,182634,,,,,,,,,,,,
92,241720,,,,,,,,,,,,
93,190099,32,32,32,31,30,30,1430,1430,1430,1400,1370,1370
94,174747,25,25,24,26,26,26,1210,1210,1180,1240,1240,1240
95,231077,19,,,18,19,19,1010,,,970,1010,1010
96,160959,,,,,,,,,,,,
97,166124,,,,,,,,,,,,
98,178697,24,23,23,22,22,22,1180,1140,1140,1110,1110,1110
99,126678,,,,,30,30,,,,,1370,1370
100,127556,21,21,20,20,20,20,1080,1080,1040,1040,1040,1040
101,101073,,,,,,,,,,,,
102,173300,25,,,25,25,25,1210,,,1210,1210,1210
103,190248,21,21,,18,19,24,1080,1080,,970,1010,1180
104,169363,22,22,21,22,21,21,1110,1110,1080,1110,1080,1080
105,128902,,,,,,,,,,,,
106,190372,31,,,31,31,31,1400,,,1400,1400,1400
107,153162,26,26,26,26,27,26,1240,1240,1240,1240,1280,1240
108,139393,27,26,26,26,25,25,1280,1240,1240,1240,1210,1210
109,174862,22,22,22,23,22,22,1110,1110,1110,1140,1110,1110
110,177144,20,20,20,21,22,22,1040,1040,1040,1080,1110,1110
111,190646,,,,,,,,,,,,
112,190655,,,,,,,,,,,,
113,190691,,,,,,,,,,,,
